text,category,cleaned_text,char_count,word_count
Sadly deteriorated facilities & service,Rooms,sadly deteriorated facility service,39,5
Sadly deteriorated facilities & divine service,Rooms,sadly deteriorated facility divine service,39,5
Sadly deteriorated facilities & service of process,Rooms,sadly deteriorated facility service of process,39,5
Sadly deteriorate facilities & service,Rooms,sadly deteriorate facility service,39,5
Sadly deteriorated facility & service,Rooms,sadly deteriorated facility service,39,5
Sadly deteriorate facilities & service,Rooms,sadly deteriorate facility service,39,5
Sadly deteriorated facilities & service,Rooms,sadly deteriorated facility service,39,5
sadly deteriorated facilities & service,Rooms,sadly deteriorated facility service,39,5
Sadly deteriorated facilities & service,Rooms,sadly deteriorated facility service,39,5
sadly deteriorated facilities & service,Rooms,sadly deteriorated facility service,39,5
Sadly drop facilities & service,Rooms,sadly drop facility service,39,5
"Our planned highlight, to the end of our Sri Lankan tour, was a frustrating disappointment.  We arrived tired and sick, hoping for a clean comfortable room and some simple food.  Even though we had booked and paid 6 months earlier, it took a long time to allocate us a room.  The room smelled of mould and mould was easily found in the bathroom. My wife complained, but all the staff could do was find the missing outdoor furniture. At dinner, the first night, we had difficulty finding plain food, that would not aggravate our upset stomachs.  The chef kindly offered to prepare mashed potatoes, peas and grilled chicken, for us, the next night. However, the next day, this offer was undone by management, who declared we had been selected for ""Fine dining"". Fearing this was Sringlish for extra spicy, we gave up and went to bed early, without dinned, which we had already paid for.  At least at checkout, as some compensation, the hotel did not charge for the sandwich and hamburger, we had at the bar.  After my wife presented mouldy toiletries to management, they did offer to change rooms, on the second day; but it was too little too late.  The hotel has an impressive entrance and sea view.  But what good are those when the hotel fails the basics of room and food.",Services,our planned highlight to the end of our sri lankan tour wa a frustrating disappointment we arrived tired and sick hoping for a clean comfortable room and some simple food even though we had booked and paid month earlier it took a long time to allocate u a room the room smelled of mould and mould wa easily found in the bathroom my wife complained but all the staff could do wa find the missing outdoor furniture at dinner the first night we had difficulty finding plain food that would not aggravate our upset stomach the chef kindly offered to prepare mashed potato pea and grilled chicken for u the next night however the next day this offer wa undone by management who declared we had been selected for fine dining fearing this wa sringlish for extra spicy we gave up and went to bed early without dinned which we had already paid for at least at checkout a some compensation the hotel did not charge for the sandwich and hamburger we had at the bar after my wife presented mouldy toiletry to management they did offer to change room on the second day but it wa too little too late the hotel ha an impressive entrance and sea view but what good are those when the hotel fails the basic of room and food,1273,226
