text,action,category,cleaned_text,char_count,word_count,sentiment_score
"Honestly, service in the restaurant was incredibly slow.",Staff Training (Food),Food,honestly service in the restaurant wa incredibly slow,56,8,0
"Honestly, service in the restaurant be incredibly slow.",Staff Training (Food),Food,honestly service in the restaurant be incredibly slow,56,8,0
"Honestly, service in the eatery was incredibly slow.",Staff Training (Food),Food,honestly service in the eatery wa incredibly slow,56,8,0
"Honestly, service inward the restaurant was incredibly slow.",Staff Training (Food),Food,honestly service inward the restaurant wa incredibly slow,56,8,0
"Honestly, service indium the restaurant was incredibly slow.",Staff Training (Food),Food,honestly service indium the restaurant wa incredibly slow,56,8,0
"Honestly, table service IN the restaurant was incredibly slow.",Staff Training (Food),Food,honestly table service in the restaurant wa incredibly slow,56,8,0
"Honestly, service in the restaurant was fantastically slow.",Staff Training (Food),Food,honestly service in the restaurant wa fantastically slow,56,8,0
"Honestly, service inch the restaurant was incredibly slow.",Staff Training (Food),Food,honestly service inch the restaurant wa incredibly slow,56,8,0
"Honestly, service inward the restaurant was incredibly slow.",Staff Training (Food),Food,honestly service inward the restaurant wa incredibly slow,56,8,0
"Honestly, service in the restaurant be implausibly slow.",Staff Training (Food),Food,honestly service in the restaurant be implausibly slow,56,8,0
"Honestly, service in the eatery be incredibly slow.",Staff Training (Food),Food,honestly service in the eatery be incredibly slow,56,8,0
"Honestly, staff member was smoking right outside the lobby door.",Disciplinary Action,Services,honestly staff member wa smoking right outside the lobby door,64,10,0
"Honestly, staff member was smoking right on extraneous the lobby door.",Disciplinary Action,Services,honestly staff member wa smoking right on extraneous the lobby door,64,10,0
"Honestly, staff phallus was smoke right outside the lobby door.",Disciplinary Action,Services,honestly staff phallus wa smoke right outside the lobby door,64,10,0
"Honestly, staff member was smoking correct exterior the anteroom door.",Disciplinary Action,Services,honestly staff member wa smoking correct exterior the anteroom door,64,10,0
"Honestly, stave member was fume right outside the third house door.",Disciplinary Action,Services,honestly stave member wa fume right outside the third house door,64,10,0
"Honestly, staff penis was smoking right outside the lobby door.",Disciplinary Action,Services,honestly staff penis wa smoking right outside the lobby door,64,10,0
"Honestly, staff member was smoke right outside the lobby door.",Disciplinary Action,Services,honestly staff member wa smoke right outside the lobby door,64,10,0
"Honestly, staff phallus was smoking right outside the entrance hall door.",Disciplinary Action,Services,honestly staff phallus wa smoking right outside the entrance hall door,64,10,0
"Honestly, staff member was smoking right outside the lobby door.",Disciplinary Action,Services,honestly staff member wa smoking right outside the lobby door,64,10,0
"Honestly, faculty appendage was smoke right outside the lobby door.",Disciplinary Action,Services,honestly faculty appendage wa smoke right outside the lobby door,64,10,0
"Honestly, stave member was smoking correctly outside the pressure group door.",Disciplinary Action,Services,honestly stave member wa smoking correctly outside the pressure group door,64,10,0
Action needed: Concierge was unable to give simple directions.,Staff Communication Training,Services,action needed concierge wa unable to give simple direction,62,9,0
Action needed: concierge be unable to give simple directions.,Staff Communication Training,Services,action needed concierge be unable to give simple direction,62,9,0
process needed: Concierge was unable to give simple directions.,Staff Communication Training,Services,process needed concierge wa unable to give simple direction,62,9,0
Action needed: Concierge was unable to give elementary directions.,Staff Communication Training,Services,action needed concierge wa unable to give elementary direction,62,9,0
litigate needed: Concierge was unable to give simple directions.,Staff Communication Training,Services,litigate needed concierge wa unable to give simple direction,62,9,0
Action needed: Concierge was unable to give simple directions.,Staff Communication Training,Services,action needed concierge wa unable to give simple direction,62,9,0
Action needed: Concierge was unable to give simple directions.,Staff Communication Training,Services,action needed concierge wa unable to give simple direction,62,9,0
Action needed: concierge was unable to generate simple directions.,Staff Communication Training,Services,action needed concierge wa unable to generate simple direction,62,9,0
Action needed: Concierge was unable to render simple directions.,Staff Communication Training,Services,action needed concierge wa unable to render simple direction,62,9,0
Action needed: concierge was ineffectual to give simple directions.,Staff Communication Training,Services,action needed concierge wa ineffectual to give simple direction,62,9,0
Action needed: concierge was ineffectual to give simple directions.,Staff Communication Training,Services,action needed concierge wa ineffectual to give simple direction,62,9,0
Feedback: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kid club staff seemed bored and inattentive,55,8,0
Feedback: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kid club staff seemed bored and inattentive,55,8,0
Feedback: Kyd club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kyd club staff seemed bored and inattentive,55,8,0
Feedback: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kid club staff seemed bored and inattentive,55,8,0
Feedback: Kids club faculty seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kid club faculty seemed bored and inattentive,55,8,0
Feedback: Kids social club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kid social club staff seemed bored and inattentive,55,8,0
Feedback: kid club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kid club staff seemed bored and inattentive,55,8,0
Feedback: Kids club stave seem bored and inattentive.,Recreation Staff Review,Recreation,feedback kid club stave seem bored and inattentive,55,8,0
Feedback: Kids club staff seem bored and inattentive.,Recreation Staff Review,Recreation,feedback kid club staff seem bored and inattentive,55,8,0
Feedback: kid club faculty seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kid club faculty seemed bored and inattentive,55,8,0
Feedback: Kids nightspot faculty seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kid nightspot faculty seemed bored and inattentive,55,8,0
Not happy. System crashed during check-in.,Review Check-in Process,Services,not happy system crashed during checkin,42,6,0
Not happy. System crashed during check-in.,Review Check-in Process,Services,not happy system crashed during checkin,42,6,0
Not happy. System crashed during check-in.,Review Check-in Process,Services,not happy system crashed during checkin,42,6,0
Not happy. System crash during check-in.,Review Check-in Process,Services,not happy system crash during checkin,42,6,0
Not happy. System crashed during check-in.,Review Check-in Process,Services,not happy system crashed during checkin,42,6,0
Not happy. system of rules crashed during check-in.,Review Check-in Process,Services,not happy system of rule crashed during checkin,42,6,0
Not happy. System crashed during check-in.,Review Check-in Process,Services,not happy system crashed during checkin,42,6,0
Not happy. System crashed during check-in.,Review Check-in Process,Services,not happy system crashed during checkin,42,6,0
Not happy. System crashed during check-in.,Review Check-in Process,Services,not happy system crashed during checkin,42,6,0
Not happy. organisation crashed during check-in.,Review Check-in Process,Services,not happy organisation crashed during checkin,42,6,0
Not happy. system crashed during check-in.,Review Check-in Process,Services,not happy system crashed during checkin,42,6,0
Review: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food,review our anniversary dinner wa ruined by the terrible service,66,10,-1
Review: Our anniversary dinner was ruined by the severe service.,Compensate Guest,Food,review our anniversary dinner wa ruined by the severe service,66,10,-1
Review: Our anniversary dinner party was ruined by the awful service.,Compensate Guest,Food,review our anniversary dinner party wa ruined by the awful service,66,10,-1
Review: Our day of remembrance dinner party was ruined by the terrible service.,Compensate Guest,Food,review our day of remembrance dinner party wa ruined by the terrible service,66,10,-1
Review: Our anniversary dinner party was done for by the terrible service.,Compensate Guest,Food,review our anniversary dinner party wa done for by the terrible service,66,10,-1
Review: Our day of remembrance dinner party was ruined away the terrible service.,Compensate Guest,Food,review our day of remembrance dinner party wa ruined away the terrible service,66,10,-1
Review: Our anniversary dinner was ending by the terrible service.,Compensate Guest,Food,review our anniversary dinner wa ending by the terrible service,66,10,-1
Review: Our anniversary dinner was ruined by the awful service.,Compensate Guest,Food,review our anniversary dinner wa ruined by the awful service,66,10,-1
Review: Our anniversary dinner was ruined away the terrible service.,Compensate Guest,Food,review our anniversary dinner wa ruined away the terrible service,66,10,-1
Review: Our day of remembrance dinner was ruined past times the terrible service.,Compensate Guest,Food,review our day of remembrance dinner wa ruined past time the terrible service,66,10,-1
Review: Our anniversary dinner be smash by the terrible service.,Compensate Guest,Food,review our anniversary dinner be smash by the terrible service,66,10,-1
Feedback: Restaurant manager was shouting at the staff.,Staff Training (Food),Food,feedback restaurant manager wa shouting at the staff,55,8,0
Feedback: Restaurant manager was outcry at the staff.,Staff Training (Food),Food,feedback restaurant manager wa outcry at the staff,55,8,0
Feedback: Restaurant manager was shouting atomic number 85 the staff.,Staff Training (Food),Food,feedback restaurant manager wa shouting atomic number the staff,55,8,0
Feedback: eating place manager was shouting at the staff.,Staff Training (Food),Food,feedback eating place manager wa shouting at the staff,55,8,0
Feedback: Restaurant manager was shouting at the staff.,Staff Training (Food),Food,feedback restaurant manager wa shouting at the staff,55,8,0
Feedback: Restaurant manager personify shouting at the staff.,Staff Training (Food),Food,feedback restaurant manager personify shouting at the staff,55,8,0
Feedback: Restaurant manager was shouting at the staff.,Staff Training (Food),Food,feedback restaurant manager wa shouting at the staff,55,8,0
Feedback: Restaurant manager was holler astatine the staff.,Staff Training (Food),Food,feedback restaurant manager wa holler astatine the staff,55,8,0
Feedback: Restaurant manager Evergreen State shouting astatine the staff.,Staff Training (Food),Food,feedback restaurant manager evergreen state shouting astatine the staff,55,8,0
Feedback: Restaurant manager was shouting atomic number 85 the staff.,Staff Training (Food),Food,feedback restaurant manager wa shouting atomic number the staff,55,8,0
Feedback: Restaurant manager was cheering at the staff.,Staff Training (Food),Food,feedback restaurant manager wa cheering at the staff,55,8,0
Review: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food,review waiter were ignoring u and chatting among themselves,63,9,0
Review: Waiters comprise ignoring us and chatter among themselves.,Staff Training (Food),Food,review waiter comprise ignoring u and chatter among themselves,63,9,0
Review: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food,review waiter were ignoring u and chatting among themselves,63,9,0
Review: Waiters were brush aside us and chatting among themselves.,Staff Training (Food),Food,review waiter were brush aside u and chatting among themselves,63,9,0
Review: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food,review waiter were ignoring u and chatting among themselves,63,9,0
Review: Waiters were disregard us and chatting among themselves.,Staff Training (Food),Food,review waiter were disregard u and chatting among themselves,63,9,0
Review: waiter were ignoring us and chatting among themselves.,Staff Training (Food),Food,review waiter were ignoring u and chatting among themselves,63,9,0
Review: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food,review waiter were ignoring u and chatting among themselves,63,9,0
Review: Waiters were ignore U.S.A. and chatting among themselves.,Staff Training (Food),Food,review waiter were ignore usa and chatting among themselves,63,9,0
Review: Waiters were ignoring the States and chatting among themselves.,Staff Training (Food),Food,review waiter were ignoring the state and chatting among themselves,63,9,0
Review: Waiters were ignoring us and chat among themselves.,Staff Training (Food),Food,review waiter were ignoring u and chat among themselves,63,9,0
Not happy. There was a spider on the pillow.,Pest Control Investigation,Rooms,not happy there wa a spider on the pillow,44,9,0
not happy. There was type A spider on the pillow.,Pest Control Investigation,Rooms,not happy there wa type a spider on the pillow,44,9,0
Not happy. There was a spider on the pillow.,Pest Control Investigation,Rooms,not happy there wa a spider on the pillow,44,9,0
non happy. There was a wanderer on the pillow.,Pest Control Investigation,Rooms,non happy there wa a wanderer on the pillow,44,9,0
non happy. There was a spider on the pillow.,Pest Control Investigation,Rooms,non happy there wa a spider on the pillow,44,9,0
Not happy. at that place was a spider on the pillow.,Pest Control Investigation,Rooms,not happy at that place wa a spider on the pillow,44,9,0
non happy. There WA a spider on the pillow.,Pest Control Investigation,Rooms,non happy there wa a spider on the pillow,44,9,0
Not happy. There was a wanderer along the pillow.,Pest Control Investigation,Rooms,not happy there wa a wanderer along the pillow,44,9,0
Not happy. There was a wanderer along the pillow.,Pest Control Investigation,Rooms,not happy there wa a wanderer along the pillow,44,9,0
Not happy. There was a spider along the pillow.,Pest Control Investigation,Rooms,not happy there wa a spider along the pillow,44,9,0
Not happy. There was amp spider on the pillow.,Pest Control Investigation,Rooms,not happy there wa amp spider on the pillow,44,9,0
Action needed: The pasta was overcooked and mushy.,Revise Menu Quality,Food,action needed the pasta wa overcooked and mushy,50,8,0
Action needed: The pasta was overcooked and mushy.,Revise Menu Quality,Food,action needed the pasta wa overcooked and mushy,50,8,0
Action needed: The pasta was overcook and mushy.,Revise Menu Quality,Food,action needed the pasta wa overcook and mushy,50,8,0
accomplish needed: The pasta was overcook and mushy.,Revise Menu Quality,Food,accomplish needed the pasta wa overcook and mushy,50,8,0
Action needed: The pasta was overcook and mushy.,Revise Menu Quality,Food,action needed the pasta wa overcook and mushy,50,8,0
sue needed: The pasta was overcooked and mushy.,Revise Menu Quality,Food,sue needed the pasta wa overcooked and mushy,50,8,0
Action needed: The pasta exist overcooked and mushy.,Revise Menu Quality,Food,action needed the pasta exist overcooked and mushy,50,8,0
action needed: The pasta was overcooked and mushy.,Revise Menu Quality,Food,action needed the pasta wa overcooked and mushy,50,8,0
fulfill needed: The alimentary paste was overcooked and mushy.,Revise Menu Quality,Food,fulfill needed the alimentary paste wa overcooked and mushy,50,8,0
Action needed: The alimentary paste was overcooked and mushy.,Revise Menu Quality,Food,action needed the alimentary paste wa overcooked and mushy,50,8,0
litigate needed: The pasta was overcooked and mushy.,Revise Menu Quality,Food,litigate needed the pasta wa overcooked and mushy,50,8,0
Feedback: The room is infested with insects.,Pest Control Investigation,Rooms,feedback the room is infested with insect,44,7,0
Feedback: The room cost infested with insects.,Pest Control Investigation,Rooms,feedback the room cost infested with insect,44,7,0
Feedback: The room make up infested with insects.,Pest Control Investigation,Rooms,feedback the room make up infested with insect,44,7,0
Feedback: The room be infested with insects.,Pest Control Investigation,Rooms,feedback the room be infested with insect,44,7,0
Feedback: The room is infest with insects.,Pest Control Investigation,Rooms,feedback the room is infest with insect,44,7,0
Feedback: The room is infested with insects.,Pest Control Investigation,Rooms,feedback the room is infested with insect,44,7,0
Feedback: The room is infested with insects.,Pest Control Investigation,Rooms,feedback the room is infested with insect,44,7,0
Feedback: The room is overrun with insects.,Pest Control Investigation,Rooms,feedback the room is overrun with insect,44,7,0
Feedback: The way is infested with insects.,Pest Control Investigation,Rooms,feedback the way is infested with insect,44,7,0
Feedback: The room is infested with insects.,Pest Control Investigation,Rooms,feedback the room is infested with insect,44,7,0
Feedback: The elbow room is infested with insects.,Pest Control Investigation,Rooms,feedback the elbow room is infested with insect,44,7,0
"Honestly, the steak was tough and flavorless.",Revise Menu Quality,Food,honestly the steak wa tough and flavorless,45,7,0
"Honestly, the steak was tough and flavorless.",Revise Menu Quality,Food,honestly the steak wa tough and flavorless,45,7,0
"Honestly, the steak was tough and flavorless.",Revise Menu Quality,Food,honestly the steak wa tough and flavorless,45,7,0
"Honestly, the steak be tough and flavorless.",Revise Menu Quality,Food,honestly the steak be tough and flavorless,45,7,0
"Honestly, the steak was bully and flavorless.",Revise Menu Quality,Food,honestly the steak wa bully and flavorless,45,7,0
"Honestly, the steak make up tough and flavorless.",Revise Menu Quality,Food,honestly the steak make up tough and flavorless,45,7,0
"Honestly, the steak was yobo and flavorless.",Revise Menu Quality,Food,honestly the steak wa yobo and flavorless,45,7,0
"Honestly, the steak was yobbo and flavorless.",Revise Menu Quality,Food,honestly the steak wa yobbo and flavorless,45,7,0
"Honestly, the steak was tough and flavorless.",Revise Menu Quality,Food,honestly the steak wa tough and flavorless,45,7,0
"Honestly, the steak was hooligan and flavorless.",Revise Menu Quality,Food,honestly the steak wa hooligan and flavorless,45,7,0
