text,sentiment,cleaned_text,char_count,word_count,avg_word_length,sentiment_score,vader_compound,vader_pos,vader_neg,vader_neu,textblob_polarity,textblob_subjectivity
Lovely location - classy offer,positive,lovely location classy offer,30,5,5.2,1,0.7717,0.691,0.0,0.309,0.3,0.825
"We stayed in this hotel as the relax part of our trip to Sri Lanka. We can said that the others heritance hotels we been were better. Because you are in a village, we probably will have all your meals at the hotel, we were disappointed about the quality and the variation of the food during dinner. The hotel is very large and they have to swimming pool areas, the northern one has less people.",neutral,we stayed in this hotel a the relax part of our trip to sri lanka we can said that the others heritance hotel we been were better because you are in a village we probably will have all your meal at the hotel we were disappointed about the quality and the variation of the food during dinner the hotel is very large and they have to swimming pool area the northern one ha less people,394,75,4.266666666666667,0,0.4019,0.072,0.038,0.89,-0.03452380952380952,0.46845238095238095
"My wife and I spent the last two weeks of January here. The hotel is very nice, clean and the staff are attentive and helpful. The food in the buffet restaurant was OK.... nothing too special, but they try to cater for all tastes. We booked B&B only as we prefer not to be 'tied' to the same place for meals. However, outside the hotel, there is little choice along the beach. Only the 'sunshine bar' at the far Right as you look at the sea. The food there is simple, but very good and very reasonable. We eat at the 'Mustard' restaurant as well as the 'Fine Dining' restaurant that is within the hotel grounds. The food at both was very good, but because most of the guests were 'All Inclusive' and eat at the buffet, we dined alone in the other restaurants. I did have a bit of an issue with one of the 'room boys' though. The one we had at the start of our holiday was very attentive and made sure he told us each day that 'he was our room boy' (obviously after a tip at the end of the holiday). But he disappeared halfway through our time there. So, when we finally came to pack our bags, we gave our tip to the room boy that took over. However, as we walked with our cases to the lift, we were approached by the original room boy who made it obvious that he wanted a tip also. But we had already given our last Rupees away, so had nothing left. It was a cringingly embarrassing moment, which I didn't feel we should have been put in. I've seen comments here about the 'beach sellers' ... Our experience was nothing but good. I got friendly with a middle aged man called Pathmi, (usually wears a Red baseball cap and carries a Red Sri-Lanka tourism bag) He took me and his Nephew on a fishing trip in the mangroves. It was great. He also invited me back to his house, where his wife had cooked a 1.5kilo fish, potatoes, rice and curry sauce for lunch.... It was a real honour to go into his house as well as humbling..... So please look out for him on the beach. He's a real 'find'! If you are looking for a hotel that can provide good, clean accommodation, as well as good food and are happy to more or less stay around the hotel/beach area... this is a great place! If you are looking for a hotel, but would like to walk along the beach to find different restaurants, then look again. There's none there! (apart from 1)",positive,my wife and i spent the last two week of january here the hotel is very nice clean and the staff are attentive and helpful the food in the buffet restaurant wa ok nothing too special but they try to cater for all taste we booked bb only a we prefer not to be tied to the same place for meal however outside the hotel there is little choice along the beach only the sunshine bar at the far right a you look at the sea the food there is simple but very good and very reasonable we eat at the mustard restaurant a well a the fine dining restaurant that is within the hotel ground the food at both wa very good but because most of the guest were all inclusive and eat at the buffet we dined alone in the other restaurant i did have a bit of an issue with one of the room boy though the one we had at the start of our holiday wa very attentive and made sure he told u each day that he wa our room boy obviously after a tip at the end of the holiday but he disappeared halfway through our time there so when we finally came to pack our bag we gave our tip to the room boy that took over however a we walked with our case to the lift we were approached by the original room boy who made it obvious that he wanted a tip also but we had already given our last rupee away so had nothing left it wa a cringingly embarrassing moment which i didnt feel we should have been put in ive seen comment here about the beach seller our experience wa nothing but good i got friendly with a middle aged man called pathmi usually wear a red baseball cap and carry a red srilanka tourism bag he took me and his nephew on a fishing trip in the mangrove it wa great he also invited me back to his house where his wife had cooked a kilo fish potato rice and curry sauce for lunch it wa a real honour to go into his house a well a humbling so please look out for him on the beach he a real find if you are looking for a hotel that can provide good clean accommodation a well a good food and are happy to more or less stay around the hotelbeach area this is a great place if you are looking for a hotel but would like to walk along the beach to find different restaurant then look again there none there apart from,2325,448,4.191964285714286,5,0.9975,0.168,0.025,0.807,0.26341021825396826,0.5154828042328042
i did not stay at heritance ahungalla since you informed it was fully booked later and transferred me to hotel riu.,negative,i did not stay at heritance ahungalla since you informed it wa fully booked later and transferred me to hotel riu,115,21,4.523809523809524,0,0.0,0.0,0.0,1.0,0.0,0.0
"We stayed in Heritance Ahungalla for 16 nights. I want to structure the Review in positive, neutral and negative things and because everyone seems to tell just the positive things i start with the negative ones. Negative: - Dirty beach; the Hotel does not care about the litter on the beach. Of course it is a public beach but there are only Hotel guests. Thats why they should clean it more often. - Beach Boys: they wait in front of the beach and even whistle or shout for someone. You always feel observed when you lie on the pool - Rooms are in poor condition. In the shower is mould, the curtains are dirty and the furniture is old (i enclosed some Pictures). This is definitely not 5-star-hotel-like! - The Hotel customer Service asked if we could give them a good tripadvisor-rating and they want to see if you give 5 points. Thats certainly the fact why there are so many good Reviews. - The Prices in the Hotel (if you dont have AI) are quite high. A 0,3 Liter Diet-Coke is about 3 Dollar, the dinner 26 Dollar. Very much for a Country like Sri Lanka. - When you leave the Hotel there are some Tuk-Tuk-Driver who want to bring you to the next herbal-farm or wants to sell you drugs. After our second try, we did not dare to go out -The Bar staff was quite slow and we had to wait almost 15 minutes till someone cared. That happened many times. Neutral: - Loud Room: We had a room over the bar and the bass was quite loud till 11 p.m. But most other rooms which are further away are certainly quiet. When we told this to the front desk they immediately offered another room Positive: - The architecture of the Hotel and the beautiful pools. - The Housekeeping and almost every Hotel employee was extremely friendly - The animals in the Hotel. There where cute chipmunks, funny apes, lovely ravens taking their bath in the pool, a lizard and even a big snake (i dont know if it was poisonous) - great Food. I dont think that you can find any better Food in Sri Lanka I just rate the Hotel with two out of five because it is made much better on tripadivor than it is for real. In my opinion it is not better than a european 3-Star-Hotel and i know that sri-lanka-standard is far lower than european but unfortunately the Prices are not like Sri Lanka (Massage 1 hour- 100 Dollar!)",negative,we stayed in heritance ahungalla for night i want to structure the review in positive neutral and negative thing and because everyone seems to tell just the positive thing i start with the negative one negative dirty beach the hotel doe not care about the litter on the beach of course it is a public beach but there are only hotel guest thats why they should clean it more often beach boy they wait in front of the beach and even whistle or shout for someone you always feel observed when you lie on the pool room are in poor condition in the shower is mould the curtain are dirty and the furniture is old i enclosed some picture this is definitely not starhotellike the hotel customer service asked if we could give them a good tripadvisorrating and they want to see if you give point thats certainly the fact why there are so many good review the price in the hotel if you dont have ai are quite high a liter dietcoke is about dollar the dinner dollar very much for a country like sri lanka when you leave the hotel there are some tuktukdriver who want to bring you to the next herbalfarm or want to sell you drug after our second try we did not dare to go out the bar staff wa quite slow and we had to wait almost minute till someone cared that happened many time neutral loud room we had a room over the bar and the bass wa quite loud till pm but most other room which are further away are certainly quiet when we told this to the front desk they immediately offered another room positive the architecture of the hotel and the beautiful pool the housekeeping and almost every hotel employee wa extremely friendly the animal in the hotel there where cute chipmunk funny ape lovely raven taking their bath in the pool a lizard and even a big snake i dont know if it wa poisonous great food i dont think that you can find any better food in sri lanka i just rate the hotel with two out of five because it is made much better on tripadivor than it is for real in my opinion it is not better than a european starhotel and i know that srilankastandard is far lower than european but unfortunately the price are not like sri lanka massage hour dollar,2286,428,4.343457943925234,3,0.9932,0.155,0.072,0.772,0.1293285533910534,0.5163081709956711
"This is by far my most favorite hotel in Sri Lanka... It's luxury and comfort with the welcoming and relaxing feeling of being right at home.. The staff are extremely friendly and accommodating and went out of there way to tend to our every need.. Exceptional service which I have never experienced anywhere.. The food was fantastic.. The rooms were beautifully decorated, very comfortable and well thought of with all the amenities you would need.. They even helped us make baby food for my little niece.. And the views were simply breathtaking.. I can't wait to go back again to this amazing place with warm smiles, amazing food, beautiful architecture and most importantly the relaxed, peaceful and calm surroundings.. Absolutely loved it!!!",positive,this is by far my most favorite hotel in sri lanka it luxury and comfort with the welcoming and relaxing feeling of being right at home the staff are extremely friendly and accommodating and went out of there way to tend to our every need exceptional service which i have never experienced anywhere the food wa fantastic the room were beautifully decorated very comfortable and well thought of with all the amenity you would need they even helped u make baby food for my little niece and the view were simply breathtaking i cant wait to go back again to this amazing place with warm smile amazing food beautiful architecture and most importantly the relaxed peaceful and calm surroundings absolutely loved it,744,122,5.10655737704918,6,0.9965,0.399,0.0,0.601,0.44135822510822514,0.762987012987013
Third floor right side corner room facing the sea is quite nice,positive,third floor right side corner room facing the sea is quite nice,63,12,4.333333333333333,1,0.4754,0.219,0.0,0.781,0.29523809523809524,0.5119047619047619
Service excellence but need to focus on the basics,neutral,service excellence but need to focus on the basic,50,9,4.666666666666667,0,0.3716,0.242,0.0,0.758,0.0,0.0
Beautiful beach view,positive,beautiful beach view,20,3,6.0,1,0.5994,0.661,0.0,0.339,0.85,1.0
"We Have been coming to Heritance Ahungalla for over 15 years. We experienced the same warmth and hospitality right throughout. The food was of a very high standard, accommodation was very comfortable and the staff always made a special effort to make our stay memorable.",positive,we have been coming to heritance ahungalla for over year we experienced the same warmth and hospitality right throughout the food wa of a very high standard accommodation wa very comfortable and the staff always made a special effort to make our stay memorable,270,45,5.022222222222222,1,0.8516,0.181,0.0,0.819,0.33385714285714285,0.6042678571428571
"Terrible. Unbelievable. Worst Experience in any Hotel in Sri Lanka, let alone a Five Star one & we have stayed in many",negative,terrible unbelievable worst experience in any hotel in sri lanka let alone a five star one we have stayed in many,118,22,4.409090909090909,-2,-0.8126,0.062,0.317,0.621,-0.4375,0.875
Best to get a room on the ground floor if you are looking to use the pool and go to the beach,neutral,best to get a room on the ground floor if you are looking to use the pool and go to the beach,93,22,3.272727272727273,1,0.6369,0.167,0.0,0.833,1.0,0.3
I was there with my parents when I came on a holiday from the UK.Excellent place for a relaxing holiday with an amazing view of the sea. Great and very friendly staff and they were happy to help at anytime. Spacious and luxurious rooms with all the facilities. Food was amazing and there were lots of choices and it was exceptional. My special thanks goes to miss Dilinie Rajapaksha who gave us a tremendous support when I booked the hotel. There were two beautiful pools and the surrounding of the hotel was exceptional. I highly recommend this hotel and I’ll definitely visit this place during my next holiday from England.,positive,i wa there with my parent when i came on a holiday from the ukexcellent place for a relaxing holiday with an amazing view of the sea great and very friendly staff and they were happy to help at anytime spacious and luxurious room with all the facility food wa amazing and there were lot of choice and it wa exceptional my special thanks go to miss dilinie rajapaksha who gave u a tremendous support when i booked the hotel there were two beautiful pool and the surrounding of the hotel wa exceptional i highly recommend this hotel and ill definitely visit this place during my next holiday from england,625,110,4.6909090909090905,6,0.994,0.353,0.011,0.636,0.4658078231292517,0.7151020408163264
I don't advise anyone to visit.,negative,i dont advise anyone to visit,31,6,4.333333333333333,0,0.0,0.0,0.0,1.0,0.0,0.0
The hotel is located near the beach and location is good. But the hospitality is not so good. Room is also not up to the mark as the sliding door of the bathroom was jammed and room was not cleaned before handing to us. The food was ok ok but catering staff was courteous. Try for Taj Bentota instead.,neutral,the hotel is located near the beach and location is good but the hospitality is not so good room is also not up to the mark a the sliding door of the bathroom wa jammed and room wa not cleaned before handing to u the food wa ok ok but catering staff wa courteous try for taj bentota instead,301,59,4.11864406779661,2,0.788,0.171,0.058,0.771,0.42857142857142855,0.6
"A unique hotel, great service, but it’s getting old and needs work Whilst the room (suite) was large and well appointed, the bathroom in particular needs renovation. It’s just getting old and needs work. In particular the shower over a massive spa bath would be very difficult for someone unsteady on their feet to get into - apart from holding on to the glass shower screen there was nothing to hold on to. There was areas of the hotel obviously no longer used, an upstairs bar above reception was empty, the locked billiards room, and the empty kids club were all looking sad and unloved. With some investment in the rooms and some public areas this hotel could easily beat the new chain hotels springing up",neutral,a unique hotel great service but it getting old and need work whilst the room suite wa large and well appointed the bathroom in particular need renovation it just getting old and need work in particular the shower over a massive spa bath would be very difficult for someone unsteady on their foot to get into apart from holding on to the glass shower screen there wa nothing to hold on to there wa area of the hotel obviously no longer used an upstairs bar above reception wa empty the locked billiards room and the empty kid club were all looking sad and unloved with some investment in the room and some public area this hotel could easily beat the new chain hotel springing up,709,126,4.634920634920635,0,-0.8907,0.058,0.131,0.811,0.06719505984211868,0.5411637382225618
Same as kandalama heritance also have poor hospitality. They don't care about customers. They act like we came to stay and eat there for free. 😂. After having bad experience in kandalama the I went heritance ahungalla. No difference. So after the bad experience from both heritance hotel I stopped choosing heritance hotel.,negative,same a kandalama heritance also have poor hospitality they dont care about customer they act like we came to stay and eat there for free after having bad experience in kandalama the i went heritance ahungalla no difference so after the bad experience from both heritance hotel i stopped choosing heritance hotel,323,53,5.113207547169812,-2,-0.8122,0.127,0.251,0.622,-0.2799999999999999,0.5716666666666665
"Have just returned from a two week trip to Sri Lanka (Nov04) where we based ourselves at the Triton Hotel, Ahungalla. I must say although the hotel needs a overhaul ( due to be completed from May05toNov05) we had a wonderfull stay there. The food was excellant at all times. The initial room was also lovely but upon discovery of a small leak we were instantly upgraded to a suite with no questions asked by the hotel. What seemed to set the hotel apart was simply its level of service. All employees from maintenance to guest relations were excellent and couldnt do enough to help. Weddings were also a source of pleasure as the hotel puts a real show on with the dancers, elephant and evening fireworks. The only downside was the beach sellers who are quite persistent and initially put you off visiting the beach. However after a few days they recognise and it becomes far less a hassle. Altogether a lovely hotel experience for the price.",neutral,have just returned from a two week trip to sri lanka nov where we based ourselves at the triton hotel ahungalla i must say although the hotel need a overhaul due to be completed from maytonov we had a wonderfull stay there the food wa excellant at all time the initial room wa also lovely but upon discovery of a small leak we were instantly upgraded to a suite with no question asked by the hotel what seemed to set the hotel apart wa simply it level of service all employee from maintenance to guest relation were excellent and couldnt do enough to help wedding were also a source of pleasure a the hotel put a real show on with the dancer elephant and evening firework the only downside wa the beach seller who are quite persistent and initially put you off visiting the beach however after a few day they recognise and it becomes far less a hassle altogether a lovely hotel experience for the price,942,168,4.613095238095238,2,0.9418,0.112,0.044,0.844,0.10388888888888889,0.48436507936507933
