text,sentiment
Awesome foods and service. Thank you Navindu.,positive
Beautiful design and landscaping,positive
огромный неуютный отель,negative
Disappointed,negative
Great time,positive
Simply Amazing!,positive
"Huge experience, good valour and huge smile from them top!!!",positive
In my view this is the equivalent of a 3 star hotel in the UK (not 5 star) as positioned. Having waited over 2 hours to be shown to our rooms we opted not to stay. 1. Old food was left outside rooms. 2. the main pool in all the photos is public ( paying a lot of money for this) 3. it would appear that an entire wing of the hotel is being held up by scaffolding 4. our rooms smelt of drains. 5. they got the lunch order wrong!,neutral
"After a week of touring around Sri Lanka for the first part of our honeymoon we were looking forward to spending a week by the sea in a 5 star resort. Unfotunately we were very disappointed with this hotel. The good points about the hotel are the large swimming pools and the view of the sea from most parts of the hotel. The bad points are numerous: -During our stay the weather was very windy and it rained heavily. The hotel is not designed to cope heavy rainfall as it is designed in a very modern, open minimalist way. All the corridors, a bar and the cafe are completely open to the elements. This meant that rain was constantly pouring in and the floors were several centimetres deep in some places. This made the floors very slippy and we found we were unable to get around the hotel much and it made sitting in the front bar and cafe impossible as the bar does not have any front covers to keep the rain out. The staff are constantly sweeping the water away and moving furniture around out of the rain which was very irritating. The overall cleanliness of the hotel is not that great either and the hotel is starting to look rundown. The bathroom in our room had lots of mould in the shower(picture attached), and there was no bath option, you have to pay for a premium top floor room to get a bath! Having stayed in many 5 star and 4 star hotels all over Europe and Asia, I would say this is a 3 star at best, the other 3 star hotels we stayed in during our holiday were in fact much better. -The food is boring and pricey by Sri Lankan standards although you would expect that in a 5 star hotel. We went to the fine dining restaurant one night which was pretty good, although very run-of-the-mill options such as steak and mash. The desserts were interesting but after waiting over half an hour, when they arrived they were poorly executed and my dessert was not even what I ordered. Being the only other couple in the restaurant this was certainly not what we expected. The breakfast is also disappointing, the only positive being the traditional Sri Lankan curries offered. The omelette queue was impressive every morning and that only left under-cooked waffles, anaemic chicken sausages and fatty bacon cooked to order. The rest of the buffet was luke-warm at best. The fresh fruit offered however was fesh and ripe and there was lots of choice. -The beach is not for swimming or being on for any length of time. There are local people constantly waiting on the edge of the hotel and the beach trying to sell you things aggressively and stray dogs wandering about do not make you feel safe. The security guards do nothing about the sellers and leave them to shout at you whilst you are lying on sunbeds within the hotel grounds. -Another point to make is that there is nothing to do in the local area- we went to the 'turtle hatchery' before going to the hotel and it took us 10min to look at the 2 ponds in which 2 poor adult turtles are kept, and a small area of sand where the eggs are buried before they hatch. We ended up leaving early as we were fed up with the food, not being able to go on to the beach and the inefficient staff. Wish we had gone to the Maldives!",negative
"The location is good right on the beach but that's about it. The sprawling property has no charm, no grace, it's actually disgraceful. The service is pathetic. There is only one elevator servicing each wing and reaching your room is nothing short of a long uninteresting walk. The lobby lights are off at night and we literally had to walk in the torch light of the mobile phone when we had to leave at dawn for the whale watching tour. The spa treatments are an eye wash. The food is so lousy there is no sense of any combinations also the main course is served in a bright white light area if chef fin dishes that are broken and it feels like eating at a very low budget wedding or a college canteen. The last night was my husband's birthday and I had even offered to pay for a good cake, but my agent assured that it had been arranged free. It was one of the worst cakes that looked like it had been bought from the cheapest bakery in town. The common area toilets were so filthy I dreaded going there more than once. The key card that was issued to me was in someone else's name. Just about everything was bad about this property. I wonder how they have procured a licence to operate as a 5 Star. I do not recommend it to anybody at all! When the staff came to know that we were upset, they wouldn't leave us alone at breakfast and created an unnatural fuss. I found that extremely unprofessional. One of the staff members asked me what the problem was and after I shared all the grievances with her at the end of the conversation she actually said ""wish you a good stay Ms. Natu "" what should I call that? Deliberate or really dumb? If they don't get their act together soon, I guarantee that they will have to close down in the next couple of years!",negative
