text,sentiment
I must thankful to them by giving this wonderful stay. I have reserved a delux room but they upgraded it to a suite. Everything was perfect. Buffet spread was very good and food was delicious. Cleanliness is at its max and there hospitality was great. Everything was great and nothing to complained. We will come back again definitly,positive
"1.If you want experience next level customer service, Go to this hotel. I have visited many hotels before, But never experienced like this super customer service. Staff was very friendly 2.Rooms was comfortable 3.Rooms was very spacious",positive
"We went to Heritance Ahungalla as a group of 7 adults for 2 nights stay. On arrival all of us had a perception that this is a 4 star property but after seeing the rooms and other amenities and the hospitality of staff, chef and services, we can definitely vouch for its 5 star category. We being vegetarians, apart from their big elaborate menus for breakfast and Dinners, chefs personally to care for our food and made all efforts to prepare veg food specially for us. Lady as PR manager Ms Dilsha was an exceptional Dimond star studded to this property. I have travelled to many countries but never seen such hospitality and personal take care by any hotel staff. It was not just us but she was all the time interacting with guests to make them comfortable at the property. Amazing experience !! Amazing Hotel !!",positive
Pros- at the beach. Lovely food. Clean and nice rooms. Cons- all the good restaurants are 20 minutes away in Bentota. The property’s hospitality is average. We’ve seen better hospitality in srilanka.,positive
"It is an affordable option among power constructions, but it has sufficient quality. The depreciation of the rupee is a factor, but the cost-performance is unbelievable. Especially when my companion fell ill and we requested a doctor, the attention to detail with room service was also impressive. Thank you.",positive
Great food whopping varieties in food,positive
Thanks a lot for another fantastic stay. Will come definitely come again and again….,positive
Highly recommended hotel with all mod-cons and facilities right on the beach.,positive
Friendly staff and neat rooms,positive
"Our stay was a great experience, This is our 2nd time here, we were 4 people together me wife and two daughters, the food was great , lovely spread for breakfast western, Sri Lankan and Indian food, amazing location, very fast check in well trained staff.",positive
Great place got gave me an upgrade of the room food Mouthwatering and one of the best in town,positive
Excellent stay,positive
"Nice property, Excellent service all round by the staff. Everyone has a smile and courteous and considering clients requests positively. Great work. Keep it up",positive
Very old property . Not maintained properly.check in/ out process took much time. Staff also not friendly and co operative.,negative
"If you want to travel with a stay in slow life, this place is a good choice. You can complete everything in the hotel. But if you want to see around, not a good choice. Far from cities, also not many restaurants near. The first infinity pool was not so impressive. Nowadays, you can see the more impressive infinity pool in all over the world.",neutral
"The hotel needs refurbishment. Some of the corridors and courtyards were in a very poor state. The meals were OK, although not up to 5 star standard. There was only one ala carte restaurant. The restaurant staff were a credit to the hotel - always willing to help. Unfortunately, cant say the same of the reception staff who would benefit from a communication skills training course. The Gym was very poorly equipped and certainly did not merit a 5 star status.",negative
"Everything is astonishing, except F/O seems disconnected to the hospitality attitude while the other staff already attached professionally.",neutral
"Hotel was wonderful from first step to the last good bye. Staff was amazing, quick check in and check out and hotel makes sure the safety of the guests. Pools were properly maintained and hotel is in walking distance to the ahungalla beach view point. a must visit place. Its a hotel which makes Sri Lanka proud ! cheers",positive
"Staff was very friendly,But my kids didn’t like the Chinese buffet,Food to be improved.",neutral
A friend had recommended the Heritance hotels so we had high expectations. The hotel met and exceeded our expectations. This is a beautiful facility. Food and service were top notch.,positive
1-الفندق ليس في بنتوتا 2- الغرفة ليست مطلة 3-بوفية الفطور والعشاء ممتازه 4-لا يوجد فعاليات ممتعه داخل المنتجع 5-حجم الغرفة ممتاز,neutral
"the time we spent there was amazing and wonderful. we loved everyhting about this hotel and wanted to stay longer. The hotel staff were very welcoming and nice and the hotel was clean. The facilities and the pool were oh so breathtaking. I would definitely revisit the hotel if I ever visit the area again. The food was great but I have to just add one note, If you are a Muslim or you are nonalcoholic person ask the restaurant staff about the salad dressings if there is any wine or alcohol added in the food. My wife found out that they add wine with the salad dressings especially vinegar. Ask for Halal food and alcohol free drinks and food...",positive
The hotel is an excellent place for any type of family or couple. The staff was impeccable in every aspect and the rooms were spacious. Modern yet with a Sri Lankan feel. I would definitely stay here again.,positive
