Customer_name,Customer_country,Customer_type,Review_text,Review_date,Review_text_2,Review_text_3,language_Review_text,sentiment_Review_text,language_Review_text_2,sentiment_Review_text_2,language_Review_text_3,sentiment_Review_text_3,processed_text_Review_text,processed_text_Review_text_2,processed_text_Review_text_3,bad_food,bad_recreation,bad_room,bad_service,negative_review_count,Count Food,Count reacreation,Count room,count service
Kurian,Kuwait,Couple,Very old property . Not maintained properly.check in/ out process took much time. Staff also not friendly and co operative.,2/23/2025,,,en,negative,unknown,unknown,unknown,unknown,very old property . not maintained properly.check in/ out process took much time. staff also not friendly and co operative.,,,FALSE,FALSE,FALSE,TRUE,1,240,204,242,193
Hameen,United Kingdom,Couple,"The hotel needs refurbishment.  Some of the corridors and courtyards were in a very poor state. The meals were OK, although not up to 5 star standard. There was only one ala carte restaurant. The restaurant staff were a credit to the hotel - always willing to help. Unfortunately,  cant say the same of the reception staff who would benefit from a communication skills training course.  The Gym was very poorly equipped and certainly did not merit a 5 star status.",12/19/2025,,,en,negative,unknown,unknown,unknown,unknown,"the hotel needs refurbishment.  some of the corridors and courtyards were in a very poor state. the meals were ok, although not up to 5 star standard. there was only one ala carte restaurant. the restaurant staff were a credit to the hotel - always willing to help. unfortunately,  cant say the same of the reception staff who would benefit from a communication skills training course.  the gym was very poorly equipped and certainly did not merit a 5 star status.",,,FALSE,TRUE,TRUE,FALSE,1,240,204,,193
Bill,Australia,Couple,"Our planned highlight, to the end of our Sri Lankan tour, was a frustrating disappointment.  We arrived tired and sick, hoping for a clean comfortable room and some simple food.  Even though we had booked and paid 6 months earlier, it took a long time to allocate us a room.  The room smelled of mould and mould was easily found in the bathroom. My wife complained, but all the staff could do was find the missing outdoor furniture. At dinner, the first night, we had difficulty finding plain food, that would not aggravate our upset stomachs.  The chef kindly offered to prepare mashed potatoes, peas and grilled chicken, for us, the next night. However, the next day, this offer was undone by management, who declared we had been selected for ""Fine dining"". Fearing this was Sringlish for extra spicy, we gave up and went to bed early, without dinned, which we had already paid for.  At least at checkout, as some compensation, the hotel did not charge for the sandwich and hamburger, we had at the bar.  After my wife presented mouldy toiletries to management, they did offer to change rooms, on the second day; but it was too little too late.  The hotel has an impressive entrance and sea view.  But what good are those when the hotel fails the basics of room and food.",12/15/2025,,,en,negative,unknown,unknown,unknown,unknown,"our planned highlight, to the end of our sri lankan tour, was a frustrating disappointment.  we arrived tired and sick, hoping for a clean comfortable room and some simple food.  even though we had booked and paid 6 months earlier, it took a long time to allocate us a room.  the room smelled of mould and mould was easily found in the bathroom. my wife complained, but all the staff could do was find the missing outdoor furniture. at dinner, the first night, we had difficulty finding plain food, that would not aggravate our upset stomachs.  the chef kindly offered to prepare mashed potatoes, peas and grilled chicken, for us, the next night. however, the next day, this offer was undone by management, who declared we had been selected for ""fine dining"". fearing this was sringlish for extra spicy, we gave up and went to bed early, without dinned, which we had already paid for.  at least at checkout, as some compensation, the hotel did not charge for the sandwich and hamburger, we had at the bar.  after my wife presented mouldy toiletries to management, they did offer to change rooms, on the second day; but it was too little too late.  the hotel has an impressive entrance and sea view.  but what good are those when the hotel fails the basics of room and food.",,,TRUE,TRUE,TRUE,TRUE,1,240,203,241,192
ruhi,India,Family with young children,"Stay was great but
1.  Considering there is nothing nearby to eat the food choices for A la cart and Room service are very very limited.
2. Phone receiver was smelly. None of the buttons worked
3. Door stopper broken and the the door kept banging if left open for a few seconds
4. Space beneath bed had not been swept or cleaned in a long time
5. TV was not working .
Hotel staff were warm and Service was lovely. The location and rooms were fabulous, so we overlooked all faults except  Point number 1 on Food.",10/15/2025,,,en,negative,unknown,unknown,unknown,unknown,"stay was great but
1.  considering there is nothing nearby to eat the food choices for a la cart and room service are very very limited.
2. phone receiver was smelly. none of the buttons worked
3. door stopper broken and the the door kept banging if left open for a few seconds
4. space beneath bed had not been swept or cleaned in a long time
5. tv was not working .
hotel staff were warm and service was lovely. the location and rooms were fabulous, so we overlooked all faults except  point number 1 on food.",,,TRUE,FALSE,FALSE,FALSE,1,239,202,240,192
Lindsay,New Zealand,Couple,"I thought the ""fine dining"" restaurant was disappointing and over-priced. The hotel felt too ""Buckland's Holiday Camp"" for me. Couldn't wait to leave each day on other activities outside the hotel. It looked to me also that the original building design had been messed with. The model airplane at the end of the 'infinity"" pool was ridiculous. Surely Geofrey bawa would not have approved.",1/14/2025,,,en,negative,unknown,unknown,unknown,unknown,"i thought the ""fine dining"" restaurant was disappointing and over-priced. the hotel felt too ""buckland's holiday camp"" for me. couldn't wait to leave each day on other activities outside the hotel. it looked to me also that the original building design had been messed with. the model airplane at the end of the 'infinity"" pool was ridiculous. surely geofrey bawa would not have approved.",,,TRUE,TRUE,TRUE,FALSE,1,238,202,240,192
Jocelyn,Australia,Couple,"Hotel located in good Hotel and some of the staff were very friendly. Had to always wait over 1 hour to have meals served after they were ordered. 

The website indicated that drivers got free accommodation and 3 meals but the staff did not honor this and made our driver pay. It was very  get hold of the Manager to complain so something could be done. Our Driver did not end up getting the money back either> Very Disappointing. 

Sport Staff (Raja) was very good and was very helpful.. One out of many!!",1/13/2025,,,en,negative,unknown,unknown,unknown,unknown,"hotel located in good hotel and some of the staff were very friendly. had to always wait over 1 hour to have meals served after they were ordered. 

the website indicated that drivers got free accommodation and 3 meals but the staff did not honor this and made our driver pay. it was very  get hold of the manager to complain so something could be done. our driver did not end up getting the money back either> very disappointing. 

sport staff (raja) was very good and was very helpful.. one out of many!!",,,FALSE,FALSE,FALSE,FALSE,1,237,201,239,192
Roger,Netherlands,Couple,geen verdere aanvulling,1/17/2025,,,af,negative,unknown,unknown,unknown,unknown,no further addition,,,FALSE,FALSE,FALSE,FALSE,1,237,201,239,192
KAZUKI,Thailand,Solo traveler,"建物は年季が入っており、少し古臭い。
部屋は可もなく不可もなく。
清潔感はある。",8/24/2025,,,ja,negative,unknown,unknown,unknown,unknown,"the building is old and looks a bit old.
the rooms are neither comfortable nor unavailable.
it has a clean feeling.",,,FALSE,FALSE,TRUE,FALSE,1,237,201,239,192
Oishi,Japan,Solo traveler,"朝食からディナーまでビュッフェで、作り置きのものしかない。全く美味しいと感じられなかった。
大規模なホテルで団体客も多いので仕方がないかもしれないが、１人で泊まる時は、ここではなく、小さな居心地の良いホテルを選ぼうと思う。
食事以外は建物もプールもキレイで悪くない。",3/19/2025,,,ja,negative,unknown,unknown,unknown,unknown,"it's a buffet from breakfast to dinner, and only prepared in advance. it didn't taste good at all.
it may be hard to understand because it's a large hotel with a lot of group visitors, but when i'm staying alone, i'm thinking of choosing a small, comfortable hotel rather than this one.
other than the food, the building and pool are beautiful and not bad.",,,TRUE,TRUE,TRUE,FALSE,1,237,201,238,192
chen,China,Family with young children,临到出行前，酒店才通知说没有房间，给替换到另外一家酒店。对酒店这钟行为非常鄙视。抵达到酒店前台交涉期间，路线有外国团队来办理入住，个人觉得就是把我们预定的酒店让给了别人。酒店真的很美，环境不错，早晚餐也非常丰盛，对于这次没有住到这家酒店感觉很遗憾。,1/15/2025,,,zh-cn,negative,unknown,unknown,unknown,unknown,"before the trip, the hotel notified that there was no room and replaced it to another hotel. i despise the behavior of this hotel clock. during the negotiations at the hotel reception desk, a foreign team came to check in the route. i personally think that it was to give the hotel we booked to someone else. the hotel is really beautiful, the environment is good, and the morning and evening meals are also very rich. i feel sorry for not staying in this hotel this time.",,,FALSE,FALSE,TRUE,TRUE,1,236,200,237,191
