text,action,category
Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food
"Honestly, everything tastes like frozen food reheated.",Revise Menu Quality,Food
Not happy. Debris and leaves floating in the water.,Pool Maintenance,Recreation
Feedback: Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
Review: Housekeeper stole money from my wallet.,Disciplinary Action,Services
Not happy. Lobby is chaotic and disorganized.,Review Check-in Process,Services
Not happy. Restaurant manager was shouting at the staff.,Staff Training (Food),Food
"Worst dining experience ever, I expect compensation. Terrible.",Compensate Guest,Food
Feedback: Debris and leaves floating in the water.,Pool Maintenance,Recreation
no water or towels available in the gym.,Update Gym Equipment,Recreation
Mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
Action needed: Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
Action needed: Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
Not happy. The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food
Not happy. The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food
Called reception but no one answered the phone. Terrible.,Staff Communication Training,Services
"Honestly, room wasn't ready at 4 pm check-in time.",Review Check-in Process,Services
Concierge was unable to give simple directions.,Staff Communication Training,Services
The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
"Honestly, debris and leaves floating in the water.",Pool Maintenance,Recreation
Not happy. The server was rude when I asked for water.,Staff Training (Food),Food
Review: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
System crashed during check-in.,Review Check-in Process,Services
Staff member laughed at my complaint.,Disciplinary Action,Services
Not happy. Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food
Feedback: Pool shower wasn't working.,Pool Maintenance,Recreation
Action needed: The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
The room is infested with insects. Terrible.,Pest Control Investigation,Rooms
the hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
Review: The waiter spilled soup on me and didn't apologize.,Staff Training (Food),Food
Debris and leaves floating in the water.,Pool Maintenance,Recreation
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food
Not happy. Cockroach in the shower.,Pest Control Investigation,Rooms
I think I saw a mouse behind the curtain. Terrible.,Pest Control Investigation,Rooms
concierge was unable to give simple directions.,Staff Communication Training,Services
staff member laughed at my complaint.,Disciplinary Action,Services
Feedback: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
Yoga mats are torn and dirty. Terrible.,Update Gym Equipment,Recreation
It took 45 minutes just to check in.,Review Check-in Process,Services
Not happy. Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food
"Honestly, the presentation of the dishes was poor.",Revise Menu Quality,Food
Action needed: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms
Review: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
concierge was unable to give simple directions.,Staff Communication Training,Services
Action needed: Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
Action needed: Activity director was rude to the guests.,Recreation Staff Review,Recreation
Staff member was smoking right outside the lobby door. Terrible.,Disciplinary Action,Services
The presentation of the dishes was poor. Terrible.,Revise Menu Quality,Food
"Honestly, staff got my order wrong three times.",Staff Training (Food),Food
Found trash from previous guests in the drawer. Terrible.,Deep Clean & Maintenance,Rooms
Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
Review: The pool water was cloudy and green.,Pool Maintenance,Recreation
Check-in line was huge and only one counter open.,Review Check-in Process,Services
the server was rude when i asked for water.,Staff Training (Food),Food
They charged us for items we didn't order. Terrible.,Compensate Guest,Food
hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
Feedback: Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation
Review: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
Review: Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms
Feedback: The server was rude when I asked for water.,Staff Training (Food),Food
Feedback: Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation
"Staff speaks very poor English, hard to communicate. Terrible.",Staff Communication Training,Services
Not happy. I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms
Conflicting information from different staff members. Terrible.,Staff Communication Training,Services
"Honestly, gym is too small for the number of guests.",Update Gym Equipment,Recreation
"Action needed: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
Feedback: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
Not happy. System crashed during check-in.,Review Check-in Process,Services
"towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Not happy. I want a refund for this terrible meal.,Compensate Guest,Food
"Feedback: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
Action needed: Check-in line was huge and only one counter open.,Review Check-in Process,Services
Action needed: Concierge was unable to give simple directions.,Staff Communication Training,Services
Feedback:  Filtration system was making a loud noise.,Pool Maintenance,Recreation
Not happy. The bill included a service charge that was not mentioned.,Compensate Guest,Food
Check-in line was huge and only one counter open. Terrible.,Review Check-in Process,Services
"Honestly, there was a spider on the pillow.",Pest Control Investigation,Rooms
Review: There was a spider on the pillow.,Pest Control Investigation,Rooms
"Honestly, no one came to clear our table for 30 minutes.",Staff Training (Food),Food
Feedback: There was a spider on the pillow.,Pest Control Investigation,Rooms
I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms
Pool attendant refused to give me a towel.,Recreation Staff Review,Recreation
"Honestly, concierge was unable to give simple directions.",Staff Communication Training,Services
the bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
Not happy. There was a spider on the pillow.,Pest Control Investigation,Rooms
Not happy. There was a spider on the pillow.,Pest Control Investigation,Rooms
Action needed: Lizard on the ceiling.,Pest Control Investigation,Rooms
Action needed: We were promised a complimentary drink but never got it.,Compensate Guest,Food
Review: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
The sheets had spots and didn't look fresh. Terrible.,Deep Clean & Maintenance,Rooms
Mosquitoes in the room kept me up all night. Terrible.,Pest Control Investigation,Rooms
